DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
08-MAY-2018,2915,2929.8,2886,2892.25,132638,2892.25
07-MAY-2018,2894,2942.95,2890.65,2915.3,235635,2915.3
04-MAY-2018,2985,2986,2885,2888.65,266727,2888.65
03-MAY-2018,2994.95,2994.95,2951.1,2975.2,382125,2975.2
02-MAY-2018,3019.65,3043.4,2950.05,2965.95,523589,2965.95
30-APR-2018,2972.95,2977.5,2928.85,2952.6,122656,2952.6
27-APR-2018,2890,2960,2890,2947.15,365533,2947.15
26-APR-2018,2924,2924,2877,2884.95,387123,2884.95
25-APR-2018,2885,2911.95,2864.55,2900.35,319384,2900.35
24-APR-2018,2856.1,2897.3,2850,2886.8,261691,2886.8
23-APR-2018,2852.8,2880,2820,2852.15,235602,2852.15
20-APR-2018,2853.8,2870.05,2801.05,2852.7,466032,2852.7
19-APR-2018,2865,2865,2841.15,2857.95,283973,2857.95
18-APR-2018,2879,2879,2845.7,2862.05,352687,2862.05
17-APR-2018,2845,2875.3,2840,2864.2,562666,2864.2
16-APR-2018,2783.7,2841.45,2776.1,2838.3,479220,2838.3
13-APR-2018,2769.45,2806,2759.25,2786.2,400416,2786.2
12-APR-2018,2777,2780,2757,2763.2,349414,2763.2
11-APR-2018,2775,2780,2751,2755.55,275482,2755.55
10-APR-2018,2790,2799,2762.45,2766.45,298049,2766.45
09-APR-2018,2788,2803.95,2767.35,2772.45,270316,2772.45
06-APR-2018,2814.95,2824.05,2776.25,2786.4,282872,2786.4
05-APR-2018,2790,2815.95,2782.4,2808.15,341534,2808.15
04-APR-2018,2807,2816,2746.25,2766,308672,2766
03-APR-2018,2790,2829.9,2785,2792,324121,2792
02-APR-2018,2755,2815.95,2749,2808.95,396178,2808.95
28-MAR-2018,2775,2792.3,2735.55,2744.7,680019,2744.7
27-MAR-2018,2861,2863.9,2791,2798.3,304403,2798.3
26-MAR-2018,2788,2864.75,2732.05,2848.65,299008,2848.65
23-MAR-2018,2814.9,2817.25,2745,2789.95,451122,2789.95
22-MAR-2018,2851.9,2873.75,2822,2834.95,325295,2834.95
21-MAR-2018,2889.95,2890.45,2835.35,2851.8,231405,2851.8
20-MAR-2018,2843.9,2888.25,2830.3,2873,227109,2873
19-MAR-2018,2913.55,2920.85,2842.65,2849.45,231927,2849.45
16-MAR-2018,2940,2958,2890.35,2910.45,338593,2910.45
15-MAR-2018,2960,2971.9,2936.5,2948.75,181457,2948.75
14-MAR-2018,2963,2969,2936,2950.55,225181,2950.55
13-MAR-2018,2959,3004,2952.95,2971.75,287288,2971.75
12-MAR-2018,2956,2966,2931,2957.75,246428,2957.75
09-MAR-2018,2934,2966.9,2918.15,2935.4,205178,2935.4
08-MAR-2018,2919.7,2945,2891.1,2923.9,143854,2923.9
07-MAR-2018,2898,2940,2875,2903.9,185188,2903.9
06-MAR-2018,2969.9,2976.05,2883.25,2899.2,258501,2899.2
05-MAR-2018,3020.9,3020.9,2931.75,2943.55,287300,2943.55
01-MAR-2018,3067.1,3080,3008.05,3020.9,503301,3020.9
28-FEB-2018,3010,3056.65,2990,3020.6,519406,3020.6
27-FEB-2018,3040,3058,3022,3034.7,325597,3034.7
26-FEB-2018,3004,3044,3000.9,3008.7,203189,3008.7
23-FEB-2018,2988,3007.95,2960.1,2986.4,377558,2986.4
22-FEB-2018,3014.8,3014.8,2966,2974.3,369716,2974.3
21-FEB-2018,3080.9,3081.55,3003.1,3012.6,275688,3012.6
20-FEB-2018,3032,3070.5,3010.75,3049.85,236222,3049.85
19-FEB-2018,3110,3117.5,3010,3030.6,219206,3030.6
16-FEB-2018,3158,3158,3095.55,3103.9,132450,3103.9
15-FEB-2018,3125,3167.1,3097.55,3143.5,148715,3143.5
14-FEB-2018,3155,3159.95,3100,3109.75,286070,3109.75
12-FEB-2018,3134,3162.9,3082,3154.1,239055,3154.1
09-FEB-2018,3129,3142.5,3080.85,3099.25,175504,3099.25
08-FEB-2018,3155,3189.95,3131.9,3157.95,202895,3157.95
07-FEB-2018,3198.3,3198.3,3125.2,3135.55,223029,3135.55
06-FEB-2018,3005,3157.95,3005,3135.1,270751,3135.1
05-FEB-2018,3200,3233,3140.6,3185.55,585934,3185.55
02-FEB-2018,3419,3468.35,3166.95,3241.3,1269438,3241.3
01-FEB-2018,3340,3421.2,3290,3412.95,439064,3412.95
31-JAN-2018,3348,3385.8,3256.15,3337.15,275934,3337.15
30-JAN-2018,3373.95,3404.95,3341.1,3358.3,425678,3358.3
29-JAN-2018,3317,3377.95,3293.55,3363.9,365342,3363.9
25-JAN-2018,3344,3345.9,3295,3311.7,246647,3311.7
24-JAN-2018,3295,3349.95,3277.05,3341.55,402759,3341.55
23-JAN-2018,3280,3324,3272.05,3295.95,324780,3295.95
22-JAN-2018,3200,3283,3200,3274.5,223845,3274.5
19-JAN-2018,3207.8,3223.75,3173.45,3210.4,143928,3210.4
18-JAN-2018,3210,3241.9,3191,3201.2,282478,3201.2
17-JAN-2018,3158,3216.6,3154.35,3194.15,224799,3194.15
16-JAN-2018,3176,3185,3140.05,3160.05,175692,3160.05
15-JAN-2018,3182.2,3189,3154.5,3166,109156,3166
12-JAN-2018,3208.9,3214,3152.25,3175.35,193239,3175.35
11-JAN-2018,3210,3220.3,3180.15,3193.4,324132,3193.4
10-JAN-2018,3228.25,3240,3200.2,3207.4,296961,3207.4
09-JAN-2018,3276,3284.5,3231.05,3243.5,324363,3243.5
08-JAN-2018,3285.1,3296.7,3265.25,3275.75,120330,3275.75
05-JAN-2018,3263,3294,3244.05,3279.85,113508,3279.85
04-JAN-2018,3244,3274.25,3219,3264.45,256909,3264.45
03-JAN-2018,3310,3310.2,3231.55,3241.05,372267,3241.05
02-JAN-2018,3309,3348,3280,3294.75,297721,3294.75
01-JAN-2018,3340,3345.05,3276.4,3289.25,174560,3289.25
29-DEC-2017,3295,3341,3285.5,3333.6,165478,3333.6
28-DEC-2017,3327,3343.95,3280,3295.15,251949,3295.15
27-DEC-2017,3385,3385,3320,3339.05,206665,3339.05
26-DEC-2017,3350,3385,3312.45,3369,301225,3369
22-DEC-2017,3277,3358.05,3255.55,3328.95,307746,3328.95
21-DEC-2017,3300,3320,3278,3289.45,130594,3289.45
20-DEC-2017,3318.85,3340,3269.05,3301.2,261149,3301.2
19-DEC-2017,3235,3330.8,3230.15,3319.8,423748,3319.8
18-DEC-2017,3179.9,3240.95,3038.9,3226.75,315433,3226.75
15-DEC-2017,3188,3265,3163.7,3198.8,679114,3198.8
14-DEC-2017,3160,3171,3133.2,3162.8,168975,3162.8
13-DEC-2017,3160,3196,3132,3151.3,240391,3151.3
